,study ID,vaccine,dose,VE,LCL,UCL,days_since_first_dose,population_category,outcome_category,variant_sequenced,time_sup,time_inf
34,11,Pfizer,final,90.0,68,97.0,14,HCW,infection,,14,14
35,12,Pfizer,1,82.0,68,90.0,14,HCW,infection,,14,14
36,13,Pfizer,final,65.0,45,79.0,11,HCW,asymptomatic,,11,11
37,13,Pfizer,final,70.0,43,84.0,11,HCW,asymptomatic,,11,11
38,13,Pfizer,final,90.0,84,94.0,11,HCW,symptomatic,,11,11
39,13,Pfizer,final,88.0,80,94.0,11,HCW,symptomatic,,11,11
40,14,Pfizer,1,66.9,28.7,84.6,15,general pop,infection,,15,15
41,14,Pfizer,final,87.4,77.2,93.1,15,general pop,infection,,15,15
42,14,Pfizer,final,68.3,27.9,85.7,15,general pop,asymptomatic,,15,15
43,14,Pfizer,final,91.3,79.3,96.3,15,general pop,symptomatic,,15,15
44,14,Pfizer,final,100.0,,,15,general pop,severe,,15,15
45,14,Pfizer,final,87.0,68.6,94.6,15,general pop,infection,,15,15
46,14,Moderna,final,86.2,68.4,93.9,15,general pop,infection,,15,15
47,15,Pfizer,1,78.0,73,82.0,25,general pop,infection,,28,22
48,15,AZD1222 (AstraZeneca),1,74.0,65,81.0,25,general pop,infection,,28,22
49,16,Pfizer,1,42.0,14,63.0,14,general pop,infection,,14,14
50,16,Pfizer,final,86.0,72,94.0,7,general pop,infection,,7,7
51,17,Pfizer,1,55.0,40,66.0,24,80-83 years,infection,,27,21
52,17,Pfizer,final,70.0,55,80.0,38,80-83 years,infection,,41,35
53,17,Pfizer,1,50.0,19,69.0,24,80-83 years,severe,,27,21
54,17,Pfizer,final,75.0,52,87.0,38,80-83 years,severe,,41,35
55,17,Pfizer,1,58.0,31,74.0,38,80-83 years,symptomatic,,41,35
56,17,Pfizer,final,79.0,60,90.0,38,80-83 years,symptomatic,,41,35
57,18,Pfizer,1,72.0,58,86.0,21,HCW,infection,,21,21
58,18,Pfizer,final,86.0,76,97.0,7,HCW,infection,,7,7
59,19,Pfizer,1,91.0,85,94.0,31,general pop,severe,,34,28
60,19,AZD1222 (AstraZeneca),1,88.0,75,94.0,31,general pop,severe,,34,28
61,20,Pfizer,1,66.0,60,71.0,21,general pop,infection,,21,21
62,20,Pfizer,final,80.0,74,85.0,0,general pop,infection,,0,0
63,20,Pfizer,1,78.0,72,83.0,21,general pop,symptomatic,,21,21
64,20,Pfizer,final,95.0,91,98.0,0,general pop,symptomatic,,0,0
65,20,AZD1222 (AstraZeneca),1,61.0,54,68.0,21,general pop,infection,,21,21
66,20,AZD1222 (AstraZeneca),final,79.0,65,88.0,0,general pop,infection,,0,0
67,20,AZD1222 (AstraZeneca),1,71.0,62,78.0,21,general pop,symptomatic,,21,21
68,20,AZD1222 (AstraZeneca),final,92.0,78,97.0,0,general pop,symptomatic,,0,0
69,21,Pfizer,1,65.9,65.4,66.4,28,general pop,infection,,28,28
70,21,Pfizer,final,94.5,94.3,94.7,14,general pop,infection,,14,14
71,21,Pfizer,1,74.9,73.5,76.3,28,general pop,severe,,28,28
72,21,Pfizer,final,95.8,95.2,96.2,14,general pop,severe,,14,14
73,21,Pfizer,1,72.1,69.9,74.1,28,general pop,severe,,28,28
74,21,Pfizer,final,96.3,95.7,96.9,14,general pop,severe,,14,14
75,21,Pfizer,1,69.1,65.5,72.3,28,general pop,death,,28,28
76,21,Pfizer,final,96.0,94.9,96.9,14,general pop,death,,14,14
77,22,Pfizer,1,64.0,28,82.0,28,≥ 65 years,severe,,28,28
78,22,Pfizer,final,94.0,49,99.0,14,≥ 65 years,severe,,14,14
79,23,Pfizer,1,53.0,1,77.0,12,HCW,infection,,12,12
80,24,Pfizer,1,84.0,40,96.0,17,HCW,infection,,21,14
81,24,Pfizer,final,95.0,62,99.0,7,HCW,infection,,7,7
82,24,Pfizer,1,83.0,15,97.0,17,HCW,symptomatic,,21,14
83,24,Pfizer,final,94.0,51,99.0,7,HCW,symptomatic,,7,7
84,25,Janssen,final,74.2,64.9,81.6,15,general pop,infection,,15,15
85,26,Pfizer,final,95.3,94.9,95.7,7,general pop,infection,,7,7
86,26,Pfizer,final,91.5,90.7,92.2,7,general pop,asymptomatic,,7,7
87,26,Pfizer,final,97.0,96.7,97.2,7,general pop,symptomatic,,7,7
88,26,Pfizer,final,97.2,96.8,97.5,7,general pop,severe,,7,7
89,26,Pfizer,final,97.5,97.1,97.8,7,general pop,severe,,7,7
90,26,Pfizer,final,96.7,96,97.3,7,general pop,death,,7,7
91,27,Pfizer,1,65.5,58.2,71.5,18,general pop,infection,alpha,21,15
92,27,Pfizer,final,90.0,86,92.0,14,general pop,infection,alpha,14,14
93,27,Pfizer,1,72.0,32,90.0,18,general pop,severe,alpha,21,15
94,27,Pfizer,final,100.0,82,100.0,14,general pop,severe,alpha,14,14
95,27,Pfizer,1,46.5,38.7,53.3,18,general pop,infection,beta,21,15
96,27,Pfizer,final,75.0,71,79.0,14,general pop,infection,beta,14,14
97,27,Pfizer,1,56.5,0,82.8,18,general pop,severe,beta,21,15
98,27,Pfizer,final,100.0,74,100.0,14,general pop,severe,beta,14,14
99,27,Pfizer,final,87.0,82,91.0,14,general pop,infection,alpha,14,14
100,27,Pfizer,final,72.0,66,77.0,14,general pop,infection,beta,14,14
101,28,Pfizer,1,89.0,83,94.0,14,HCW,symptomatic,,14,14
102,28,Pfizer,final,97.0,94,99.0,7,HCW,symptomatic,,7,7
103,28,Pfizer,1,36.0,-51,69.0,14,HCW,asymptomatic,,14,14
104,28,Pfizer,final,86.0,69,97.0,7,HCW,asymptomatic,,7,7
105,29,Pfizer,final,79.0,68,86.0,7,> 80 years,symptomatic,,7,7
106,29,Pfizer,1,61.0,51,69.0,31,> 70 years,symptomatic,,31,31
107,29,AZD1222 (AstraZeneca),1,60.0,41,73.0,31,> 70 years,symptomatic,,34,28
108,30,Pfizer,1,82.0,74,87.0,21,HCW,symptomatic,,21,21
109,30,Pfizer,final,94.0,87,97.0,7,HCW,symptomatic,,7,7
110,31,AZD1222 (AstraZeneca),1,84.0,74,89.0,28,70-79 years,severe,,28,28
111,31,AZD1222 (AstraZeneca),1,73.0,60,81.0,28,≥ 80 years,severe,,28,28
112,31,Pfizer,1,81.0,73,87.0,28,70-79 years,severe,,28,28
113,31,Pfizer,1,81.0,76,85.0,28,≥ 80 years,severe,,28,28
114,31,Pfizer,final,93.0,89,95.0,14,≥ 80 years,severe,,14,14
115,32,CoronaVac (Sinovac),1,12.5,3.7,20.6,14,≥ 70 years,symptomatic,,14,14
116,32,CoronaVac (Sinovac),final,46.8,38.7,53.8,14,≥ 70 years,symptomatic,,14,14
117,32,CoronaVac (Sinovac),1,16.9,5.7,26.8,14,≥ 70 years,severe,,14,14
118,32,CoronaVac (Sinovac),final,55.5,46.5,62.9,14,≥ 70 years,severe,,14,14
119,32,CoronaVac (Sinovac),1,31.2,17.6,42.5,14,≥ 70 years,death,,14,14
120,32,CoronaVac (Sinovac),final,61.2,48.9,70.5,14,≥ 70 years,death,,14,14
121,33,Pfizer,1,54.0,50,58.0,28,≥ 65 years,symptomatic,,28,28
122,33,Pfizer,final,90.0,82,95.0,14,≥ 65 years,symptomatic,,14,14
123,33,AZD1222 (AstraZeneca),1,53.0,49,57.0,28,≥ 65 years,symptomatic,,28,28
124,33,AZD1222 (AstraZeneca),final,89.0,78,94.0,14,≥ 65 years,symptomatic,,14,14
125,34,Pfizer,1,59.0,55,62.0,14,general pop,symptomatic,,14,14
126,34,Pfizer,final,91.0,88,93.0,7,general pop,symptomatic,,7,7
127,34,Pfizer,1,69.0,59,77.0,14,general pop,severe,,14,14
128,34,Pfizer,final,96.0,82,99.0,0,general pop,severe,,0,0
129,34,Moderna,1,72.0,63,80.0,14,general pop,symptomatic,,14,14
130,34,Moderna,final,94.0,86,97.0,7,general pop,symptomatic,,7,7
131,34,Moderna,1,73.0,42,87.0,14,general pop,severe,,14,14
132,34,Moderna,final,96.0,74,100.0,0,general pop,severe,,0,0
133,34,Pfizer,1,61.0,56,66.0,14,general pop,symptomatic,alpha,14,14
134,34,Pfizer,final,90.0,85,94.0,7,general pop,symptomatic,alpha,7,7
135,34,Pfizer,1,59.0,39,73.0,14,general pop,severe,alpha,14,14
136,34,Pfizer,final,94.0,59,99.0,0,general pop,severe,alpha,0,0
137,34,Pfizer,1,43.0,22,59.0,14,general pop,symptomatic,beta & gamma,14,14
138,34,Pfizer,final,88.0,61,96.0,7,general pop,symptomatic,beta & gamma,7,7
139,34,Pfizer,1,56.0,-9,82.0,14,general pop,severe,   ,14,14
140,34,Pfizer,final,100.0,,,7,general pop,severe,   ,7,7
141,35,Pfizer,1,21.0,3,36.0,14,close contacts,infection,,14,14
142,35,Pfizer,final,65.0,56,73.0,14,close contacts,infection,,14,14
143,35,Pfizer,1,30.0,10,45.0,14,close contacts,symptomatic,,14,14
144,35,Pfizer,final,82.0,73,88.0,14,close contacts,symptomatic,,14,14
145,35,Pfizer,1,65.0,25,83.0,14,close contacts,severe,,14,14
146,35,Pfizer,final,94.0,60,99.0,14,close contacts,severe,,14,14
147,35,AZD1222 (AstraZeneca),1,44.0,31,54.0,14,close contacts,infection,,14,14
148,35,AZD1222 (AstraZeneca),1,50.0,37,61.0,14,close contacts,symptomatic,,14,14
149,35,AZD1222 (AstraZeneca),1,92.0,46,99.0,14,close contacts,severe,,14,14
150,36,Pfizer,1,-1.0,-50,32.0,21,general pop,infection,,21,21
151,36,Pfizer,final,69.0,44,83.0,7,general pop,infection,,7,7
152,36,Pfizer,1,9.0,-114,61.0,21,general pop,severe,,21,21
153,36,Pfizer,final,49.0,-36,81.0,7,general pop,severe,,7,7
154,37,Pfizer,1,44.4,30.4,55.6,28,HCW,infection,,28,28
155,37,Pfizer,1,63.0,56.3,68.7,84,HCW,infection,,84,84
156,38,Pfizer,1,80.0,60,90.0,28,HCW,infection,,28,28
157,38,Pfizer,final,93.0,78,98.0,14,HCW,infection,,14,14
158,38,Moderna,1,83.0,40,95.0,28,HCW,infection,,28,28
159,38,Moderna,final,82.0,20,96.0,14,HCW,infection,,14,14
160,39,Pfizer,1,7.0,-1,15.0,14,priority groups,infection,,14,14
161,39,Pfizer,final,82.0,79,84.0,7,priority groups,infection,,7,7
162,39,Pfizer,1,35.0,18,49.0,14,priority groups,severe,,14,14
163,39,Pfizer,final,93.0,89,96.0,7,priority groups,severe,,7,7
164,39,Pfizer,1,7.0,-15,25.0,14,priority groups,death,,14,14
165,39,Pfizer,final,94.0,90,96.0,7,priority groups,death,,7,7
166,40,Pfizer,1,67.0,57,75.0,21,> 70 years,infection,alpha,21,21
167,40,Pfizer,1,61.0,45,72.0,21,> 70 years,infection,gamma,21,21
168,40,Pfizer,1,72.0,58,81.0,21,> 70 years,infection,non-VOC,21,21
169,40,Pfizer,1,64.0,57,71.0,21,> 70 years,infection,,21,21
170,40,Moderna,1,71.0,56,81.0,21,> 70 years,infection,,21,21
171,41,Pfizer,1,55.0,40,66.0,14,general pop,infection,,14,14
172,41,Pfizer,final,98.0,97,99.0,14,general pop,infection,,14,14
173,41,Pfizer,final,99.0,96,100.0,14,general pop,severe,,14,14
174,41,Pfizer,final,98.0,87,100.0,14,general pop,death,,14,14
175,41,Moderna,1,93.0,74,98.0,14,general pop,infection,,14,14
176,41,AZD1222 (AstraZeneca),1,95.0,92,97.0,21,general pop,infection,,21,21
177,42,Pfizer,1,38.0,29,45.0,28,general pop,infection,alpha,28,28
178,42,Pfizer,final,92.0,90,93.0,14,general pop,infection,alpha,14,14
179,42,AZD1222 (AstraZeneca),1,37.0,32,42.0,28,general pop,infection,alpha,28,28
180,42,AZD1222 (AstraZeneca),final,73.0,66,78.0,14,general pop,infection,alpha,14,14
181,42,Pfizer,1,30.0,17,41.0,28,general pop,infection,delta,28,28
182,42,Pfizer,final,79.0,75,82.0,14,general pop,infection,delta,14,14
183,42,AZD1222 (AstraZeneca),1,18.0,9,25.0,28,general pop,infection,delta,28,28
184,42,AZD1222 (AstraZeneca),final,60.0,53,66.0,14,general pop,infection,delta,14,14
185,43,Pfizer,1,83.0,62,93.0,21,general pop,severe,alpha,21,21
186,43,Pfizer,final,95.0,78,99.0,14,general pop,severe,alpha,14,14
187,43,AZD1222 (AstraZeneca),1,76.0,61,85.0,21,general pop,severe,alpha,21,21
188,43,AZD1222 (AstraZeneca),final,86.0,53,96.0,14,general pop,severe,alpha,14,14
189,43,Pfizer,1,94.0,46,99.0,21,general pop,severe,delta,21,21
190,43,Pfizer,final,96.0,86,99.0,14,general pop,severe,delta,14,14
191,43,AZD1222 (AstraZeneca),1,71.0,51,83.0,21,general pop,severe,delta,21,21
192,43,AZD1222 (AstraZeneca),final,92.0,75,97.0,14,general pop,severe,delta,14,14
193,44,Pfizer,1,70.0,6,91.0,14,HCW,infection,,14,14
194,45,Pfizer,1,58.0,54,62.0,7,general pop,infection,,7,7
195,45,Pfizer,final,94.0,92,95.0,7,general pop,infection,,7,7
196,45,Pfizer,1,40.0,27,50.0,7,general pop,severe,,7,7
197,45,Pfizer,final,89.0,81,93.0,7,general pop,severe,,7,7
198,45,Pfizer,1,55.0,21,74.0,7,general pop,death,,7,7
199,45,Pfizer,final,98.5,86.6,99.8,7,general pop,death,,7,7
200,45,Pfizer,1,58.0,41.7,69.7,7,general pop,asymptomatic,,7,7
201,45,Pfizer,final,69.7,47.7,82.5,7,general pop,asymptomatic,,7,7
202,45,Pfizer,1,53.0,25.7,70.3,7,general pop,severe,,7,7
203,45,Pfizer,final,88.4,74.9,94.7,7,general pop,severe,,7,7
204,45,Pfizer,1,55.6,26.6,73.2,7,general pop,death,,7,7
205,45,Pfizer,final,97.0,91.7,98.9,7,general pop,death,,7,7
206,46,Pfizer,1,61.0,50.8,69.2,14,general pop,infection,,14,14
207,46,Pfizer,final,88.0,84.2,91.0,14,general pop,infection,,14,14
208,46,Pfizer,final,88.3,72.6,95.9,14,general pop,severe,,14,14
209,46,Pfizer,final,100.0,18.7,100.0,14,general pop,severe,,14,14
210,46,Moderna,1,66.6,51.9,77.3,14,general pop,infection,,14,14
211,46,Moderna,final,92.3,82.4,97.3,14,general pop,infection,,14,14
212,46,Moderna,final,90.6,76.5,97.1,14,general pop,severe,,14,14
213,46,Moderna,final,100.0,17.9,100.0,14,general pop,severe,,14,14
214,47,Pfizer,final,93.0,92.6,93.4,7,general pop,infection,,7,7
215,47,Pfizer,final,93.4,91.9,94.7,7,general pop,severe,,7,7
216,47,Pfizer,final,91.1,86.5,94.1,7,general pop,death,,7,7
217,48,Pfizer,1,45.0,36,53.0,21,≥ 70 years,infection,,21,21
218,48,Pfizer,final,75.0,65,82.0,7,≥ 70 years,infection,,7,7
219,48,Pfizer,1,63.0,49,74.0,21,≥ 70 years,severe,,21,21
220,48,Pfizer,final,93.0,70,98.0,7,≥ 70 years,severe,,7,7
221,48,Pfizer,1,40.0,26,51.0,21,chronically ill,infection,,21,21
222,48,Pfizer,final,77.0,65,85.0,7,chronically ill,infection,,7,7
223,48,Pfizer,1,82.0,56,93.0,21,chronically ill,severe,,21,21
224,48,Pfizer,final,90.0,29,99.0,7,chronically ill,severe,,7,7
225,48,AZD1222 (AstraZeneca),1,42.0,32,50.0,21,chronically ill,infection,,21,21
226,48,AZD1222 (AstraZeneca),1,62.0,42,75.0,21,chronically ill,severe,,21,21
227,49,Pfizer,1,63.0,56,68.0,14,general pop,symptomatic,non-VOC,14,14
228,49,Pfizer,final,92.0,87,95.0,14,general pop,symptomatic,non-VOC,14,14
229,49,Pfizer,1,77.0,67,84.0,14,general pop,severe,non-VOC,14,14
230,49,Pfizer,final,97.0,88,99.0,14,general pop,severe,non-VOC,14,14
231,49,Moderna,1,63.0,47,74.0,14,general pop,symptomatic,non-VOC,14,14
232,49,Moderna,final,98.0,83,100.0,14,general pop,symptomatic,non-VOC,14,14
233,49,Moderna,1,66.0,43,80.0,14,general pop,severe,non-VOC,14,14
234,49,Moderna,final,100.0,,,14,general pop,severe,non-VOC,14,14
235,49,AZD1222 (AstraZeneca),1,67.0,44,81.0,14,general pop,symptomatic,non-VOC,14,14
236,49,AZD1222 (AstraZeneca),final,100.0,,,14,general pop,symptomatic,non-VOC,14,14
237,49,AZD1222 (AstraZeneca),1,92.0,45,99.0,14,general pop,severe,non-VOC,14,14
238,49,AZD1222 (AstraZeneca),final,100.0,,,14,general pop,severe,non-VOC,14,14
239,49,Pfizer,1,67.0,65,68.0,14,general pop,symptomatic,alpha,14,14
240,49,Pfizer,final,88.0,86,90.0,14,general pop,symptomatic,alpha,14,14
241,49,Pfizer,1,82.0,81,84.0,14,general pop,severe,alpha,14,14
242,49,Pfizer,final,96.0,94,97.0,14,general pop,severe,alpha,14,14
243,49,Moderna,1,82.0,80,84.0,14,general pop,symptomatic,alpha,14,14
244,49,Moderna,final,92.0,87,95.0,14,general pop,symptomatic,alpha,14,14
245,49,Moderna,1,80.0,76,84.0,14,general pop,severe,alpha,14,14
246,49,Moderna,final,95.0,92,97.0,14,general pop,severe,alpha,14,14
247,49,AZD1222 (AstraZeneca),1,63.0,59,66.0,14,general pop,symptomatic,alpha,14,14
248,49,AZD1222 (AstraZeneca),final,87.0,47,97.0,14,general pop,symptomatic,alpha,14,14
249,49,AZD1222 (AstraZeneca),1,87.0,83,90.0,14,general pop,severe,alpha,14,14
250,49,AZD1222 (AstraZeneca),final,92.0,41,99.0,14,general pop,severe,alpha,14,14
251,49,Pfizer,1,50.0,15,70.0,14,general pop,symptomatic,beta,14,14
252,49,Pfizer,final,86.0,0,98.0,14,general pop,symptomatic,beta,14,14
253,49,Pfizer,1,64.0,31,82.0,14,general pop,severe,beta,14,14
254,49,Pfizer,final,92.0,39,99.0,14,general pop,severe,beta,14,14
255,49,Moderna,final,100.0,,,14,general pop,symptomatic,beta,14,14
256,49,Moderna,1,59.0,-77,90.0,14,general pop,severe,beta,14,14
257,49,Moderna,final,100.0,,,14,general pop,severe,beta,14,14
258,49,AZD1222 (AstraZeneca),1,84.0,-13,98.0,14,general pop,symptomatic,beta,14,14
259,49,AZD1222 (AstraZeneca),final,100.0,,,14,general pop,symptomatic,beta,14,14
260,49,AZD1222 (AstraZeneca),1,61.0,-64,91.0,14,general pop,severe,beta,14,14
261,49,Pfizer,1,63.0,54,70.0,14,general pop,symptomatic,gamma,14,14
262,49,Pfizer,final,90.0,76,96.0,14,general pop,symptomatic,gamma,14,14
263,49,Pfizer,1,80.0,70,87.0,14,general pop,severe,gamma,14,14
264,49,Pfizer,final,94.0,59,99.0,14,general pop,severe,gamma,14,14
265,49,Moderna,1,89.0,76,95.0,14,general pop,symptomatic,gamma,14,14
266,49,Moderna,final,100.0,,,14,general pop,symptomatic,gamma,14,14
267,49,Moderna,1,88.0,63,96.0,14,general pop,severe,gamma,14,14
268,49,Moderna,final,100.0,,,14,general pop,severe,gamma,14,14
269,49,AZD1222 (AstraZeneca),1,41.0,12,60.0,14,general pop,symptomatic,gamma,14,14
270,49,AZD1222 (AstraZeneca),final,100.0,,,14,general pop,symptomatic,gamma,14,14
271,49,AZD1222 (AstraZeneca),1,76.0,40,90.0,14,general pop,severe,gamma,14,14
272,49,AZD1222 (AstraZeneca),final,100.0,,,14,general pop,severe,gamma,14,14
273,49,Pfizer,1,57.0,53,61.0,14,general pop,symptomatic,delta,14,14
274,49,Pfizer,final,92.0,89,94.0,14,general pop,symptomatic,delta,14,14
275,49,Pfizer,1,81.0,76,85.0,14,general pop,severe,delta,14,14
276,49,Pfizer,final,98.0,96,99.0,14,general pop,severe,delta,14,14
277,49,Moderna,1,70.0,64,76.0,14,general pop,symptomatic,delta,14,14
278,49,Moderna,final,94.0,90,97.0,14,general pop,symptomatic,delta,14,14
279,49,Moderna,1,90.0,82,94.0,14,general pop,severe,delta,14,14
280,49,Moderna,final,98.0,93,100.0,14,general pop,severe,delta,14,14
281,49,AZD1222 (AstraZeneca),1,68.0,57,76.0,14,general pop,symptomatic,delta,14,14
282,49,AZD1222 (AstraZeneca),final,88.0,68,96.0,14,general pop,symptomatic,delta,14,14
283,49,AZD1222 (AstraZeneca),1,91.0,82,96.0,14,general pop,severe,delta,14,14
284,49,AZD1222 (AstraZeneca),final,90.0,67,97.0,14,general pop,severe,delta,14,14
285,50,CoronaVac (Sinovac),1,15.5,14.2,16.8,14,general pop,infection,,14,14
286,50,CoronaVac (Sinovac),final,65.9,65.2,66.6,14,general pop,infection,,14,14
287,50,CoronaVac (Sinovac),1,37.4,34.9,39.9,14,general pop,severe,,14,14
288,50,CoronaVac (Sinovac),final,87.5,86.7,88.2,14,general pop,severe,,14,14
289,50,CoronaVac (Sinovac),1,44.7,40.8,48.3,14,general pop,severe,,14,14
290,50,CoronaVac (Sinovac),final,90.3,89.1,91.4,14,general pop,severe,,14,14
291,50,CoronaVac (Sinovac),1,45.7,40.9,50.2,14,general pop,death,,14,14
292,50,CoronaVac (Sinovac),final,86.3,84.5,87.9,14,general pop,death,,14,14
293,51,Pfizer,1,75.4,60.4,84.7,28,general pop,severe,,28,28
294,51,Pfizer,final,86.6,79,91.4,14,general pop,severe,,14,14
295,51,Pfizer,final,84.7,74.1,91.0,14,general pop,severe,,14,14
296,51,Moderna,final,88.9,78.7,94.0,14,general pop,severe,,14,14
297,51,Pfizer,final,92.1,82.3,96.5,14,general pop,severe,alpha,14,14
298,52,Moderna,1,88.2,83.8,91.4,14,general pop,infection,alpha,14,14
299,52,Moderna,final,100.0,,,14,general pop,infection,alpha,14,14
300,52,Moderna,1,68.2,64.3,71.7,14,general pop,infection,beta,14,14
301,52,Moderna,final,96.0,90.9,98.2,14,general pop,infection,beta,14,14
302,52,Moderna,1,83.7,74.1,89.7,14,general pop,severe,,14,14
303,52,Moderna,final,89.5,18.8,98.7,14,general pop,severe,,14,14
304,52,Moderna,1,66.0,60.6,70.7,14,general pop,symptomatic,,14,14
305,52,Moderna,final,98.6,92,100.0,14,general pop,symptomatic,,14,14
306,52,Moderna,1,47.3,37.6,55.5,14,general pop,asymptomatic,,14,14
307,52,Moderna,final,92.5,84.8,96.9,14,general pop,asymptomatic,,14,14
308,52,Moderna,final,100.0,82.5,100.0,14,general pop,infection,alpha,14,14
309,52,Moderna,final,87.8,73.4,95.5,14,general pop,infection,beta,14,14
310,53,Pfizer,1,54.0,33,69.0,21,pregnant persons,infection,,21,21
311,53,Pfizer,1,78.0,57,89.0,28,pregnant persons,infection,,28,28
312,54,Pfizer,final,78.0,72,83.0,14,general pop,infection,,14,14
313,55,Pfizer,1,64.8,10.9,86.1,28,patients with cirrhosis,infection,,28,28
314,55,Pfizer,final,78.6,25.5,93.8,7,patients with cirrhosis,infection,,7,7
315,55,Pfizer,1,100.0,99.3,100.0,28,patients with cirrhosis,severe,,28,28
316,55,Pfizer,final,100.0,99,100.0,7,patients with cirrhosis,severe,,7,7
317,55,Pfizer,1,100.0,99.3,100.0,28,patients with cirrhosis,death,,28,28
318,55,Pfizer,final,100.0,99,100.0,7,patients with cirrhosis,death,,7,7
319,56,Pfizer,1,64.1,50.1,74.1,59,16-64 years,symptomatic,,90,28
320,56,Pfizer,final,48.6,-61.5,83.7,14,16-64 years,symptomatic,,14,14
321,56,Pfizer,1,57.7,49.7,64.3,59,≥ 65 years,symptomatic,,90,28
322,56,Pfizer,final,84.7,77.7,89.5,14,≥ 65 years,symptomatic,,14,14
323,56,Pfizer,1,24.3,-5.9,46.0,59,"immunocompromised, ≥ 16 years",symptomatic,,90,28
324,56,Pfizer,final,59.6,-35.5,86.3,14,"immunocompromised, ≥ 16 years",symptomatic,,14,14
325,56,AZD1222 (AstraZeneca),1,65.3,56.2,72.5,59,16-64 years,symptomatic,,90,28
326,56,AZD1222 (AstraZeneca),final,67.9,-1.1,89.8,14,16-64 years,symptomatic,,14,14
327,56,AZD1222 (AstraZeneca),1,59.8,49.2,68.2,59,≥ 65 years,symptomatic,,90,28
328,56,AZD1222 (AstraZeneca),final,81.7,59.6,91.7,14,≥ 65 years,symptomatic,,14,14
329,56,AZD1222 (AstraZeneca),1,22.5,-15.2,47.9,59,"immunocompromised, ≥ 16 years",symptomatic,,90,28
330,56,AZD1222 (AstraZeneca),final,60.0,-63.6,90.2,14,"immunocompromised, ≥ 16 years",symptomatic,,14,14
331,57,Pfizer,1,62.7,61.5,63.8,17,HHC of cases,infection,,17,17
332,57,Pfizer,final,89.4,88.7,90.0,50,HHC of cases,infection,,90,10
333,57,Pfizer,final,58.3,45.8,67.9,90,HHC of cases,infection,,90,90
334,57,Pfizer,1,72.1,66.7,75.6,17,HHC of cases,infection,,17,17
335,57,Pfizer,final,72.0,65.9,77.0,50,HHC of cases,infection,,90,10
336,57,Pfizer,final,40.2,37.6,42.6,90,HHC of cases,infection,,90,90
337,58,Pfizer,final,87.7,43.5,97.3,14,pregnant persons,infection,,14,14
338,58,Moderna,final,100.0,0,100.0,14,pregnant persons,infection,,14,14
