Study ID,first author,study design,publication date,primary series vaccine,booster vaccine,historyofCOVID ,reference group,timing_of_dose_days,outcome_detail,outcome_category,country,population_detail,population_category,VE,LCL,UCL,variant_sequenced,variant_context,max duration follow-up,notes,,,,
11,Andrews,Test-negative case-control,14Jan2022,BNT162b2 (Pfizer),Moderna,included,unvaccinated individuals,5-9 weeks,symptomatic disease,symptomatic,England,≥ 18 years,general pop,65.3,63.1,67.4,omicron,omicron,~14 weeks,,,,,
11,Andrews,Test-negative case-control,14Jan2022,AZD1222 (AstraZeneca),Pfizer,included,unvaccinated individuals,2-4 weeks,symptomatic disease,symptomatic,England,≥ 18 years,general pop,62.7,62.0,63.4,omicron,omicron,~14 weeks,,,,,
11,Andrews,Test-negative case-control,14Jan2022,AZD1222 (AstraZeneca),Pfizer,included,unvaccinated individuals,10+ weeks,symptomatic disease,symptomatic,England,≥ 18 years,general pop,44.1,42.2,45.9,omicron,omicron,~14 weeks,,,,,
11,Andrews,Test-negative case-control,14Jan2022,AZD1222 (AstraZeneca),Moderna,included,unvaccinated individuals,2-4 weeks,symptomatic disease,symptomatic,England,≥ 18 years,general pop,70.3,69.5,71.0,omicron,omicron,~14 weeks,,,,,
11,Andrews,Test-negative case-control,14Jan2022,AZD1222 (AstraZeneca),Moderna,included,unvaccinated individuals,5-9 weeks,symptomatic disease,symptomatic,England,≥ 18 years,general pop,61.6,60.0,63.1,omicron,omicron,~14 weeks,,,,,
11,Andrews,Test-negative case-control,14Jan2022,mRNA-1273 (Moderna),Pfizer,included,unvaccinated individuals,2-4 weeks,symptomatic disease,symptomatic,England,≥ 18 years,general pop,67.0,63.0,70.0,omicron,omicron,~14 weeks,,,,,
11,Andrews,Test-negative case-control,14Jan2022,mRNA-1273 (Moderna),Moderna,included,unvaccinated individuals,2-4 weeks,symptomatic disease,symptomatic,England,≥ 18 years,general pop,68.0,64.0,72.0,omicron,omicron,~14 weeks,,,,,
11,Andrews,Test-negative case-control,14Jan2022,BNT162b2 (Pfizer),Pfizer,included,unvaccinated individuals,2-4 weeks,symptomatic disease,symptomatic,England,≥ 18 years,general pop,95.2,94.9,95.5,delta,delta,~14 weeks,,,,,
11,Andrews,Test-negative case-control,14Jan2022,BNT162b2 (Pfizer),Pfizer,included,unvaccinated individuals,10+ weeks,symptomatic disease,symptomatic,England,≥ 18 years,general pop,90.2,89.6,90.8,delta,delta,~14 weeks,,,,,
11,Andrews,Test-negative case-control,14Jan2022,BNT162b2 (Pfizer),Moderna,included,unvaccinated individuals,2-4 weeks,symptomatic disease,symptomatic,England,≥ 18 years,general pop,96.8,96.2,97.3,delta,delta,~14 weeks,,,,,
11,Andrews,Test-negative case-control,14Jan2022,BNT162b2 (Pfizer),Moderna,included,unvaccinated individuals,5-9 weeks,symptomatic disease,symptomatic,England,≥ 18 years,general pop,94.7,92.7,96.2,delta,delta,~14 weeks,,,,,
11,Andrews,Test-negative case-control,14Jan2022,AZD1222 (AstraZeneca),Pfizer,included,unvaccinated individuals,2-4 weeks,symptomatic disease,symptomatic,England,≥ 18 years,general pop,95.4,95.2,95.7,delta,delta,~14 weeks,,,,,
11,Andrews,Test-negative case-control,14Jan2022,AZD1222 (AstraZeneca),Pfizer,included,unvaccinated individuals,10+ weeks,symptomatic disease,symptomatic,England,≥ 18 years,general pop,88.5,87.0,89.7,delta,delta,~14 weeks,,,,,
11,Andrews,Test-negative case-control,14Jan2022,AZD1222 (AstraZeneca),Moderna,included,unvaccinated individuals,2-4 weeks,symptomatic disease,symptomatic,England,≥ 18 years,general pop,97.1,96.8,97.4,delta,delta,~14 weeks,,,,,
11,Andrews,Test-negative case-control,14Jan2022,AZD1222 (AstraZeneca),Moderna,included,unvaccinated individuals,5-9 weeks,symptomatic disease,symptomatic,England,≥ 18 years,general pop,94.9,93.6,95.9,delta,delta,~14 weeks,,,,,
11,Andrews,Test-negative case-control,14Jan2022,mRNA-1273 (Moderna),Pfizer,included,unvaccinated individuals,2-4 weeks,symptomatic disease,symptomatic,England,≥ 18 years,general pop,97.3,91.5,99.1,delta,delta,~14 weeks,,,,,
11,Andrews,Test-negative case-control,14Jan2022,mRNA-1273 (Moderna),Moderna,included,unvaccinated individuals,2-4 weeks,symptomatic disease,symptomatic,England,≥ 18 years,general pop,95.8,88.8,98.4,delta,delta,~14 weeks,,,,,
12,Berec,Retrospective cohort,12Dec2021,BNT162b2 (Pfizer),Pfizer,included,complete vaccination with 2 doses ≥6-8 months prior,7+,infection,infection,Czech Republic,≥ 18 years,general pop,92.0,91.0,92.0,,delta,~8 weeks,,,,,
12,Berec,Retrospective cohort,12Dec2021,mRNA-1273 (Moderna),Pfizer,included,complete vaccination with 2 doses ≥6-8 months prior,7+,infection,infection,Czech Republic,≥ 18 years,general pop,94.0,91.0,96.0,,delta,~8 weeks,,,,,
12,Berec,Retrospective cohort,12Dec2021,AZD1222 (AstraZeneca),Pfizer,included,complete vaccination with 2 doses ≥6-8 months prior,7+,infection,infection,Czech Republic,≥ 18 years,general pop,82.0,68.0,90.0,,delta,~8 weeks,,,,,
12,Berec,Retrospective cohort,12Dec2021,BNT162b2 (Pfizer),Moderna,included,complete vaccination with 2 doses ≥6-8 months prior,7+,infection,infection,Czech Republic,≥ 18 years,general pop,92.0,88.0,95.0,,delta,~8 weeks,,,,,
12,Berec,Retrospective cohort,12Dec2021,mRNA-1273 (Moderna),Moderna,included,complete vaccination with 2 doses ≥6-8 months prior,7+,infection,infection,Czech Republic,≥ 18 years,general pop,94.0,91.0,95.0,,delta,~8 weeks,,,,,
12,Berec,Retrospective cohort,12Dec2021,AZD1222 (AstraZeneca),Moderna,included,complete vaccination with 2 doses ≥6-8 months prior,7+,infection,infection,Czech Republic,≥ 18 years,general pop,91.0,63.0,98.0,,delta,~8 weeks,,,,,
13,Tartof,Retrospective matched cohort,14Feb2022,BNT162b2 (Pfizer),Pfizer,included,unvaccinated individuals,14+,infection,infection,USA,≥ 18 years,general pop,88.0,86.0,89.0,delta,delta,~12 weeks,,,,,
13,Tartof,Retrospective matched cohort,14Feb2022,BNT162b2 (Pfizer),Pfizer,included,unvaccinated individuals,14+,hospitalization,severe,USA,≥ 18 years,general pop,97.0,95.0,98.0,delta,delta,~12 weeks,,,,,
13,Tartof,Retrospective matched cohort,14Feb2022,BNT162b2 (Pfizer),Pfizer,included,complete vaccination with 2 doses ≥6 months prior,14+,infection,infection,USA,≥ 18 years,general pop,75.0,71.0,78.0,delta,delta,~12 weeks,,,,,
13,Tartof,Retrospective matched cohort,14Feb2022,BNT162b2 (Pfizer),Pfizer,included,complete vaccination with 2 doses ≥6 months prior,14+,hospitalization,severe,USA,≥ 18 years,general pop,70.0,48.0,83.0,delta,delta,~12 weeks,,,,,
14,Hansen,Retrospective cohort,23Dec2021,BNT162b2 (Pfizer),Pfizer,excluded,complete vaccination with 2 doses in 60+ year olds,1-30,infection,infection,Denmark,≥ 60 years,≥ 60 years,54.6,30.4,70.4,omicron,omicron,~4 weeks,,,,,
14,Hansen,Retrospective cohort,23Dec2021,BNT162b2 (Pfizer),Pfizer,excluded,complete vaccination with 2 doses in 60+ year olds,1-30,infection,infection,Denmark,≥ 60 years,≥ 60 years,81.2,79.2,82.9,delta,delta,~4 weeks,,,,,
14,Hansen,Retrospective cohort,23Dec2021,mRNA-1273 (Moderna),Moderna,excluded,complete vaccination with 2 doses in 60+ year olds,1-30,infection,infection,Denmark,≥ 60 years,≥ 60 years,82.8,58.8,92.9,delta,delta,~4 weeks,,,,,
15,Amir,Quasi-experimental,21Dec2021,BNT162b2 (Pfizer),Pfizer,excluded,"complete vaccination with 2 doses <60 days prior, 12-14 years of age",14+,infection,infection,Israel,16-18 years,16-18 years,73.4,67.1,78.9,,delta,~4 weeks,,,,,
15,Amir,Quasi-experimental,21Dec2021,BNT162b2 (Pfizer),Pfizer,excluded,unvaccinated individuals,14+,infection,infection,Israel,16-18 years,16-18 years,96.2,94.8,97.2,,delta,~4 weeks,,,,,
16,Lustig,Prospective cohort,09May2022,BNT162b2 (Pfizer),Pfizer,excluded,complete vaccination with 2 doses ≥5 months prior,10+,infection,infection,Israel,HCW,HCW,85.6,79.2,90.1,,delta,~7 weeks,,,,,
17,Gray,Test-negative case-control,09Jun2022,Ad26.COV2.S (Janssen),Janssen,excluded,unvaccinated individuals,14-27,hospitalization,severe,South Africa,HCW,HCW,84.0,67.0,92.0,,omicron,~13 weeks,,,,,
17,Gray,Test-negative case-control,09Jun2022,Ad26.COV2.S (Janssen),Janssen,excluded,unvaccinated individuals,1-2 months,hospitalization,severe,South Africa,HCW,HCW,85.0,54.0,95.0,,omicron,~13 weeks,,,,,
17,Gray,Test-negative case-control,09Jun2022,Ad26.COV2.S (Janssen),Janssen,excluded,unvaccinated individuals,14-27,ICU admission,severe,South Africa,HCW,HCW,69.0,26.0,87.0,,omicron,~13 weeks,,,,,
17,Gray,Test-negative case-control,09Jun2022,Ad26.COV2.S (Janssen),Janssen,excluded,unvaccinated individuals,28-87,ICU admission,severe,South Africa,HCW,HCW,82.0,57.0,93.0,,omicron,~13 weeks,,,,,
18,Buchan,Test-negative case-control,28Jan2022,BNT162b2 (Pfizer) or mRNA-1273 (Moderna),Pfizer,excluded,unvaccinated individuals,7+,infection,infection,Canada,≥ 18 years,general pop,60.0,55.0,65.0,omicron,omicron,~9 weeks,,,,,
18,Buchan,Test-negative case-control,28Jan2022,BNT162b2 (Pfizer) or mRNA-1273 (Moderna),Moderna,excluded,unvaccinated individuals,7+,infection,infection,Canada,≥ 18 years,general pop,65.0,55.0,72.0,omicron,omicron,~9 weeks,,,,,
18,Buchan,Test-negative case-control,28Jan2022,BNT162b2 (Pfizer) or mRNA-1273 (Moderna),Pfizer,excluded,unvaccinated individuals,7+,severe disease,severe,Canada,≥ 18 years,general pop,95.0,87.0,98.0,omicron,omicron,~9 weeks,,,,,
18,Buchan,Test-negative case-control,28Jan2022,BNT162b2 (Pfizer) or mRNA-1273 (Moderna),Moderna,excluded,unvaccinated individuals,7+,severe disease,severe,Canada,≥ 18 years,general pop,93.0,74.0,98.0,omicron,omicron,~9 weeks,,,,,
18,Buchan,Test-negative case-control,28Jan2022,BNT162b2 (Pfizer) or mRNA-1273 (Moderna),Pfizer,excluded,unvaccinated individuals,7+,infection,infection,Canada,≥ 18 years,general pop,97.0,96.0,98.0,delta,delta,~9 weeks,,,,,
18,Buchan,Test-negative case-control,28Jan2022,BNT162b2 (Pfizer) or mRNA-1273 (Moderna),Moderna,excluded,unvaccinated individuals,7+,infection,infection,Canada,≥ 18 years,general pop,97.0,95.0,98.0,delta,delta,~9 weeks,,,,,
18,Buchan,Test-negative case-control,28Jan2022,BNT162b2 (Pfizer) or mRNA-1273 (Moderna),Pfizer,excluded,unvaccinated individuals,7+,severe disease,severe,Canada,≥ 18 years,general pop,99.0,98.0,99.0,delta,delta,~9 weeks,,,,,
18,Buchan,Test-negative case-control,28Jan2022,BNT162b2 (Pfizer) or mRNA-1273 (Moderna),Moderna,excluded,unvaccinated individuals,7+,severe disease,severe,Canada,≥ 18 years,general pop,100.0,98.0,100.0,delta,delta,~9 weeks,,,,,
19,Tan,Retrospective cohort,11Feb2022,BNT162b2 (Pfizer),Pfizer,excluded,complete vaccination with 2 doses of BNT162b2 (Pfizer),12+,infection,infection,Singapore,≥ 60 years,≥ 60 years,73.0,71.0,74.0,,delta,~6 weeks,,,,,
19,Tan,Retrospective cohort,11Feb2022,BNT162b2 (Pfizer),Pfizer,excluded,complete vaccination with 2 doses of BNT162b2 (Pfizer),12+,symptomatic disease,symptomatic,Singapore,≥ 60 years,≥ 60 years,72.0,71.0,74.0,,delta,~6 weeks,,,,,
19,Tan,Retrospective cohort,11Feb2022,BNT162b2 (Pfizer),Pfizer,excluded,complete vaccination with 2 doses of BNT162b2 (Pfizer),12+,severe disease,severe,Singapore,≥ 60 years,≥ 60 years,95.0,92.0,97.0,,delta,~6 weeks,,,,,
19,Tan,Retrospective cohort,11Feb2022,BNT162b2 (Pfizer),Moderna,excluded,complete vaccination with 2 doses of BNT162b2 (Pfizer),12+,infection,infection,Singapore,≥ 60 years,≥ 60 years,82.0,77.0,86.0,,delta,~6 weeks,,,,,
19,Tan,Retrospective cohort,11Feb2022,BNT162b2 (Pfizer),Moderna,excluded,complete vaccination with 2 doses of BNT162b2 (Pfizer),12+,symptomatic disease,symptomatic,Singapore,≥ 60 years,≥ 60 years,82.0,76.0,87.0,,delta,~6 weeks,,,,,
19,Tan,Retrospective cohort,11Feb2022,BNT162b2 (Pfizer),Moderna,excluded,complete vaccination with 2 doses of BNT162b2 (Pfizer),12+,severe disease,severe,Singapore,≥ 60 years,≥ 60 years,92.0,44.0,99.0,,delta,~6 weeks,,,,,
19,Tan,Retrospective cohort,11Feb2022,mRNA-1273 (Moderna),Moderna,excluded,complete vaccination with 2 doses of BNT162b2 (Pfizer),12+,infection,infection,Singapore,≥ 60 years,≥ 60 years,86.0,81.0,90.0,,delta,~6 weeks,,,,,
19,Tan,Retrospective cohort,11Feb2022,mRNA-1273 (Moderna),Moderna,excluded,complete vaccination with 2 doses of BNT162b2 (Pfizer),12+,symptomatic disease,symptomatic,Singapore,≥ 60 years,≥ 60 years,85.0,79.0,89.0,,delta,~6 weeks,,,,,
19,Tan,Retrospective cohort,11Feb2022,mRNA-1273 (Moderna),Pfizer,excluded,complete vaccination with 2 doses of BNT162b2 (Pfizer),12+,infection,infection,Singapore,≥ 60 years,≥ 60 years,90.0,73.0,96.0,,delta,~6 weeks,,,,,
19,Tan,Retrospective cohort,11Feb2022,mRNA-1273 (Moderna),Pfizer,excluded,complete vaccination with 2 doses of BNT162b2 (Pfizer),12+,symptomatic disease,symptomatic,Singapore,≥ 60 years,≥ 60 years,90.0,69.0,97.0,,delta,~6 weeks,,,,,
20,Tseng,Test-negative case-control,18Feb2022,mRNA-1273 (Moderna),Moderna,included,unvaccinated individuals,14+,infection,infection,USA,≥ 18 years,general pop,70.0,68.0,71.9,omicron,omicron,8 weeks,,,,,
20,Tseng,Test-negative case-control,18Feb2022,mRNA-1273 (Moderna),Moderna,included,unvaccinated individuals,14-60,infection,infection,USA,≥ 18 years,general pop,71.6,69.7,73.4,omicron,omicron,~6.5 weeks,,,,,
20,Tseng,Test-negative case-control,18Feb2022,mRNA-1273 (Moderna),Moderna,included,unvaccinated individuals,>60,infection,infection,USA,≥ 18 years,general pop,47.4,40.5,53.5,omicron,omicron,8 weeks,,,,,
20,Tseng,Test-negative case-control,18Feb2022,mRNA-1273 (Moderna),Moderna,included,unvaccinated individuals,14+,hospitalization,severe,USA,≥ 18 years,general pop,99.2,76.3,100.0,omicron,omicron,8 weeks,,,,,
20,Tseng,Test-negative case-control,18Feb2022,mRNA-1273 (Moderna),Moderna,included,unvaccinated individuals,14+,infection,infection,USA,immunocompromised,immunocompromised,29.4,0.3,50.0,omicron,omicron,8 weeks,,,,,
20,Tseng,Test-negative case-control,18Feb2022,mRNA-1273 (Moderna),Moderna,included,unvaccinated individuals,14+,infection,infection,USA,≥ 18 years,general pop,94.5,92.9,95.7,delta,delta,8 weeks,,,,,
20,Tseng,Test-negative case-control,18Feb2022,mRNA-1273 (Moderna),Moderna,included,unvaccinated individuals,14-60,infection,infection,USA,≥ 18 years,general pop,93.7,92.2,94.9,delta,delta,~6.5 weeks,,,,,
20,Tseng,Test-negative case-control,18Feb2022,mRNA-1273 (Moderna),Moderna,included,unvaccinated individuals,>60,infection,infection,USA,≥ 18 years,general pop,86.0,78.1,91.1,delta,delta,8 weeks,,,,,
20,Tseng,Test-negative case-control,18Feb2022,mRNA-1273 (Moderna),Moderna,included,unvaccinated individuals,14+,infection,infection,USA,immunocompromised,immunocompromised,70.6,31.0,87.5,delta,delta,8 weeks,,,,,
20,Tseng,Test-negative case-control,18Feb2022,mRNA-1273 (Moderna),Moderna,included,unvaccinated individuals,14+,hospitalization,severe,USA,≥ 18 years,general pop,99.7,96.5,100.0,delta,delta,8 weeks,,,,,
21,Spitzer,Prospective cohort,10Jan2022,BNT162b2 (Pfizer),Pfizer,excluded,complete vaccination with 2 doses of BNT162b2 (Pfizer) ≥1 month prior,7+,infection,infection,Israel,HCW,HCW,93.0,80.0,98.0,,delta,~4 weeks,,,,,
21,Spitzer,Prospective cohort,10Jan2022,BNT162b2 (Pfizer),Pfizer,excluded,complete vaccination with 2 doses of BNT162b2 (Pfizer) ≥1 month prior,7+,symptomatic disease,symptomatic,Israel,HCW,HCW,93.0,75.0,98.0,,delta,~4 weeks,,,,,
