study ID,first author,vaccine,dose_number,dose,days_since_first_dose,outcome_detail,outcome_category,country,population_detail,population_category,VE,LCL,UCL,variant_sequenced,variant_context,max duration follow-up,dose interval,notes,
21,Goldberg,Pfizer,2,final,14+,severe disease,severe,Israel ,≥ 16 years,general pop,96.3,95.7,96.9,,alpha,~8 weeks,,,
21,Goldberg,Pfizer,1+,1+,28,death,death,Israel ,≥ 16 years,general pop,69.1,65.5,72.3,,alpha,,,,
21,Goldberg,Pfizer,2,final,14+,death,death,Israel ,≥ 16 years,general pop,96,94.9,96.9,,alpha,~8 weeks,,,
22,Tenforde,Pfizer,1+,1+,28,hospitalization,severe,USA,hospital patients ≥ 65 years,≥ 65 years,64,28,82,,original & alpha,,,,
22,Tenforde,Pfizer,2,final,>14,hospitalization,severe,USA,hospital patients ≥ 65 years,≥ 65 years,94,49,99,,original & alpha,,,,
23,Gras-Valenti,Pfizer,1,1,>12,infection ,infection,Spain,HCW,HCW,53,1,77,,original & alpha,,,,
24,Fabiani,Pfizer,1,1,14-21,infection ,infection,Italy,HCW,HCW,84,40,96,,unknown,,,,
24,Fabiani,Pfizer,2,final,>7,infection ,infection,Italy,HCW,HCW,95,62,99,,unknown,,,,
24,Fabiani,Pfizer,1,1,14-21,symptomatic disease,symptomatic,Italy,HCW,HCW,83,15,97,,unknown,,,,
24,Fabiani,Pfizer,2,final,>7,symptomatic disease,symptomatic,Italy,HCW,HCW,94,51,99,,unknown,,,,
25,Corchado-Garcia ,Janssen,1,final,>15,infection ,infection,USA,general pop,general pop,74.2,64.9,81.6,,original & alpha,,,,
26,Haas,Pfizer,2,final,>7,infection ,infection,Israel ,general pop,general pop,95.3,94.9,95.7,,alpha,,,,
26,Haas,Pfizer,2,final,>7,asymptomatic infection,asymptomatic,Israel ,general pop,general pop,91.5,90.7,92.2,,alpha,,,,
26,Haas,Pfizer,2,final,>7,symptomatic disease,symptomatic,Israel ,general pop,general pop,97,96.7,97.2,,alpha,,,,
26,Haas,Pfizer,2,final,>7,hospitalization,severe,Israel ,general pop,general pop,97.2,96.8,97.5,,alpha,,,,
26,Haas,Pfizer,2,final,>7,severe/critical hospitalization,severe,Israel ,general pop,general pop,97.5,97.1,97.8,,alpha,,,,
26,Haas,Pfizer,2,final,>7,death,death,Israel ,general pop,general pop,96.7,96,97.3,,alpha,,,,
27,Abu-Raddad,Pfizer,1,1,15-21,infection ,infection,Qatar,general pop,general pop,65.5,58.2,71.5,alpha,alpha,,,,
27,Abu-Raddad,Pfizer,2,final,>14,infection ,infection,Qatar,general pop,general pop,90,86,92,alpha,alpha,,,,
27,Abu-Raddad,Pfizer,1,1,15-21,severe/fatal infection,severe,Qatar,general pop,general pop,72,32,90,alpha,alpha,,,,
27,Abu-Raddad,Pfizer,2,final,>14,severe/fatal infection,severe,Qatar,general pop,general pop,100,82,100,alpha,alpha,,,,
27,Abu-Raddad,Pfizer,1,1,15-21,infection ,infection,Qatar,general pop,general pop,46.5,38.7,53.3,beta,beta,,,,
27,Abu-Raddad,Pfizer,2,final,>14,infection ,infection,Qatar,general pop,general pop,75,71,79,beta,beta,,,,
27,Abu-Raddad,Pfizer,1,1,15-21,severe/fatal infection,severe,Qatar,general pop,general pop,56.5,0,82.8,beta,beta,,,,
27,Abu-Raddad,Pfizer,2,final,>14,severe/fatal infection,severe,Qatar,general pop,general pop,100,74,100,beta,beta,,,,
27,Abu-Raddad,Pfizer,2,final,>14,infection ,infection,Qatar,general pop,general pop,87,82,91,alpha,alpha,,,,
27,Abu-Raddad,Pfizer,2,final,>14,infection ,infection,Qatar,general pop,general pop,72,66,77,beta,beta,,,,
28,Angel,Pfizer,1+,1+,14,symptomatic disease,symptomatic,Israel ,HCW,HCW,89,83,94,,alpha,,,,
28,Angel,Pfizer,2,final,>7,symptomatic disease,symptomatic,Israel ,HCW,HCW,97,94,99,,alpha,,,,
28,Angel,Pfizer,1+,1+,14,asymptomatic infection,asymptomatic,Israel ,HCW,HCW,36,-51,69,,alpha,,,,
28,Angel,Pfizer,2,final,>7,asymptomatic infection,asymptomatic,Israel ,HCW,HCW,86,69,97,,alpha,,,,
29,Lopez-Bernal,Pfizer,2,final,≥7,symptomatic disease,symptomatic,UK,> 80 years,> 80 years,79,68,86,,alpha,,,,
29,Lopez-Bernal,Pfizer,1+,1+,31,symptomatic disease,symptomatic,UK,> 70 years,> 70 years,61,51,69,,alpha,,,,
29,Lopez-Bernal,AZD1222 (AstraZeneca),1+,1+,28-34 (includes some with dose 2),symptomatic disease,symptomatic,UK,> 70 years,> 70 years,60,41,73,,alpha,,,,
30,Pilishvili ,Pfizer,1+,1+,21,symptomatic disease,symptomatic,USA,HCW,HCW,82,74,87,,unknown,,,,
30,Pilishvili ,Pfizer,2,final,>7,symptomatic disease,symptomatic,USA,HCW,HCW,94,87,97,,unknown,,,,
31,Ismail,AZD1222 (AstraZeneca),1,1,28+,hospitalization,severe,UK,70-79 years,70-79 years,84,74,89,,alpha,,,,
31,Ismail,AZD1222 (AstraZeneca),1,1,28+,hospitalization,severe,UK,≥ 80 years,≥ 80 years,73,60,81,,alpha,,,,
31,Ismail,Pfizer,1,1,28+,hospitalization,severe,UK,70-79 years,70-79 years,81,73,87,,alpha,,,,
31,Ismail,Pfizer,1,1,28+,hospitalization,severe,UK,≥ 80 years,≥ 80 years,81,76,85,,alpha,,,,
31,Ismail,Pfizer,2,final,>14,hospitalization,severe,UK,≥ 80 years,≥ 80 years,93,89,95,,alpha,,,,
32,Ranzani,CoronaVac (Sinovac),1,1,>14,symptomatic disease,symptomatic,Brazil,≥ 70 years,≥ 70 years,12.5,3.7,20.6,,gamma,,,,
32,Ranzani,CoronaVac (Sinovac),2,final,>14,symptomatic disease,symptomatic,Brazil,≥ 70 years,≥ 70 years,46.8,38.7,53.8,,gamma,,,,
32,Ranzani,CoronaVac (Sinovac),1,1,>14,hospitalization,severe,Brazil,≥ 70 years,≥ 70 years,16.9,5.7,26.8,,gamma,,,,
32,Ranzani,CoronaVac (Sinovac),2,final,>14,hospitalization,severe,Brazil,≥ 70 years,≥ 70 years,55.5,46.5,62.9,,gamma,,,,
32,Ranzani,CoronaVac (Sinovac),1,1,>14,death,death,Brazil,≥ 70 years,≥ 70 years,31.2,17.6,42.5,,gamma,,,,
32,Ranzani,CoronaVac (Sinovac),2,final,>14,death,death,Brazil,≥ 70 years,≥ 70 years,61.2,48.9,70.5,,gamma,,,,
33,PHE,Pfizer,1,1,28+,symptomatic disease,symptomatic,UK,≥ 65 years,≥ 65 years,54,50,58,,alpha,,,,
33,PHE,Pfizer,2,final,>14,symptomatic disease,symptomatic,UK,≥ 65 years,≥ 65 years,90,82,95,,alpha,,,,
33,PHE,AZD1222 (AstraZeneca),1,1,28+,symptomatic disease,symptomatic,UK,≥ 65 years,≥ 65 years,53,49,57,,alpha,,,,
33,PHE,AZD1222 (AstraZeneca),2,final,>14,symptomatic disease,symptomatic,UK,≥ 65 years,≥ 65 years,89,78,94,,alpha,,,,
34,Chung,Pfizer,1,1,14+,symptomatic disease,symptomatic,Canada,general pop,general pop,59,55,62,,"alpha, beta & gamma",,,,
34,Chung,Pfizer,2,final,7+,symptomatic disease,symptomatic,Canada,general pop,general pop,91,88,93,,"alpha, beta & gamma",15 weeks,,,
34,Chung,Pfizer,1,1,14+,hospitalization or death,severe,Canada,general pop,general pop,69,59,77,,"alpha, beta & gamma",,,,
34,Chung,Pfizer,2,final,0+,hospitalization or death,severe,Canada,general pop,general pop,96,82,99,,"alpha, beta & gamma",15 weeks,,,
34,Chung,Moderna,1,1,14+,symptomatic disease,symptomatic,Canada,general pop,general pop,72,63,80,,"alpha, beta & gamma",,,,
34,Chung,Moderna,2,final,7+,symptomatic disease,symptomatic,Canada,general pop,general pop,94,86,97,,"alpha, beta & gamma",15 weeks,,,
34,Chung,Moderna,1,1,14+,hospitalization or death,severe,Canada,general pop,general pop,73,42,87,,"alpha, beta & gamma",,,,
34,Chung,Moderna,2,final,0+,hospitalization or death,severe,Canada,general pop,general pop,96,74,100,,"alpha, beta & gamma",15 weeks,,,
34,Chung,Pfizer,1,1,14+,symptomatic disease,symptomatic,Canada,general pop,general pop,61,56,66,alpha,alpha,,,,
34,Chung,Pfizer,2,final,7+,symptomatic disease,symptomatic,Canada,general pop,general pop,90,85,94,alpha,alpha,15 weeks,,,
34,Chung,Pfizer,1,1,14+,hospitalization or death,severe,Canada,general pop,general pop,59,39,73,alpha,alpha,,,,
34,Chung,Pfizer,2,final,0+,hospitalization or death,severe,Canada,general pop,general pop,94,59,99,alpha,alpha,15 weeks,,,
34,Chung,Pfizer,1,1,14+,symptomatic disease,symptomatic,Canada,general pop,general pop,43,22,59,beta & gamma,beta & gamma,,,,
34,Chung,Pfizer,2,final,7+,symptomatic disease,symptomatic,Canada,general pop,general pop,88,61,96,beta & gamma,beta & gamma,15 weeks,,,
34,Chung,Pfizer,1,1,14+,hospitalization or death,severe,Canada,general pop,general pop,56,-9,82,   ,beta & gamma,,15 weeks,,
34,Chung,Pfizer,2,final,7+,hospitalization or death,severe,Canada,general pop,general pop,100,,,   ,beta & gamma,beta & gamma,15 weeks,,
35,Martinez-Bas,Pfizer,1,1,14+,infection ,infection,Spain,close contacts,close contacts,21,3,36,,alpha,,,,
35,Martinez-Bas,Pfizer,2,final,14+,infection ,infection,Spain,close contacts,close contacts,65,56,73,,alpha,12 weeks,,,
35,Martinez-Bas,Pfizer,1,1,14+,symptomatic disease,symptomatic,Spain,close contacts,close contacts,30,10,45,,alpha,,,,
35,Martinez-Bas,Pfizer,2,final,14+,symptomatic disease,symptomatic,Spain,close contacts,close contacts,82,73,88,,alpha,12 weeks,,,
35,Martinez-Bas,Pfizer,1,1,14+,hospitalization,severe,Spain,close contacts,close contacts,65,25,83,,alpha,,,,
35,Martinez-Bas,Pfizer,2,final,14+,hospitalization,severe,Spain,close contacts,close contacts,94,60,99,,alpha,12 weeks,,,
35,Martinez-Bas,AZD1222 (AstraZeneca),1,1,14+,infection ,infection,Spain,close contacts,close contacts,44,31,54,,alpha,,,,
35,Martinez-Bas,AZD1222 (AstraZeneca),1,1,14+,symptomatic disease,symptomatic,Spain,close contacts,close contacts,50,37,61,,alpha,,,,
35,Martinez-Bas,AZD1222 (AstraZeneca),1,1,14+,hospitalization,severe,Spain,close contacts,close contacts,92,46,99,,alpha,,,,
36,Khan,Pfizer,1+,1+,21,infection ,infection,USA,hospital patients,general pop,-1,-50,32,,unknown,,,,
36,Khan,Pfizer,2,final,7+,infection ,infection,USA,hospital patients,general pop,69,44,83,,unknown,14 weeks,,,
36,Khan,Pfizer,1+,1+,21,hospitalization or death,severe,USA,hospital patients,general pop,9,-114,61,,unknown,,,,
36,Khan,Pfizer,2,final,7+,hospitalization or death,severe,USA,hospital patients,general pop,49,-36,81,,unknown,14 weeks,,,
37,Salo,Pfizer,1,1,4 weeks,infection ,infection,Finland,HCW,HCW,44.4,30.4,55.6,,alpha,,,,
37,Salo,Pfizer,1+,1+,84,infection ,infection,Finland,HCW,HCW,63,56.3,68.7,,alpha,,,,
38,Thompson,Pfizer,1+,1+,28,infection ,infection,USA,HCW,HCW,80,60,90,,original,,,,
38,Thompson,Pfizer,2,final,>14,infection ,infection,USA,HCW,HCW,93,78,98,,original,13 weeks,,,
38,Thompson,Moderna,1+,1+,28,infection ,infection,USA,HCW,HCW,83,40,95,,original,,,,
38,Thompson,Moderna,2,final,>14,infection ,infection,USA,HCW,HCW,82,20,96,,original,,,,
39,Emborg,Pfizer,1,1,>14,infection ,infection,Denmark,priority groups,priority groups,7,-1,15,,original & alpha,,,,
39,Emborg,Pfizer,2,final,>7,infection ,infection,Denmark,priority groups,priority groups,82,79,84,,original & alpha,10 weeks,,,
39,Emborg,Pfizer,1,1,>14,hospitalization,severe,Denmark,priority groups,priority groups,35,18,49,,original & alpha,,,,
39,Emborg,Pfizer,2,final,>7,hospitalization,severe,Denmark,priority groups,priority groups,93,89,96,,original & alpha,10 weeks,,,
39,Emborg,Pfizer,1,1,>14,death,death,Denmark,priority groups,priority groups,7,-15,25,,original & alpha,,,,
39,Emborg,Pfizer,2,final,>7,death,death,Denmark,priority groups,priority groups,94,90,96,,original & alpha,10 weeks,,,
40,Skowornski,Pfizer,1,1,21+,infection ,infection,Canada,> 70 years,> 70 years,67,57,75,alpha,alpha,,,,
40,Skowornski,Pfizer,1,1,21+,infection ,infection,Canada,> 70 years,> 70 years,61,45,72,gamma,gamma,,,,
40,Skowornski,Pfizer,1,1,21+,infection ,infection,Canada,> 70 years,> 70 years,72,58,81,non-VOC,non-VOC,,,,
40,Skowornski,Pfizer,1,1,21+,infection ,infection,Canada,> 70 years,> 70 years,64,57,71,,alpha & gamma,,,,
40,Skowornski,Moderna,1,1,21+,infection ,infection,Canada,> 70 years,> 70 years,71,56,81,,alpha & gamma,,,,
41,Flacco,Pfizer,1,1,14+,infection ,infection,Italy,general pop,general pop,55,40,66,,original & alpha,,,,
41,Flacco,Pfizer,2,final,14+,infection ,infection,Italy,general pop,general pop,98,97,99,,original & alpha,~14 weeks,,,
41,Flacco,Pfizer,2,final,14+,hospitalization,severe,Italy,general pop,general pop,99,96,100,,original & alpha,~14 weeks,,,
41,Flacco,Pfizer,2,final,14+,death,death,Italy,general pop,general pop,98,87,100,,original & alpha,~14 weeks,,,
41,Flacco,Moderna,1,1,14+,infection ,infection,Italy,general pop,general pop,93,74,98,,original & alpha,,,,
41,Flacco,AZD1222 (AstraZeneca),1,1,21+,infection ,infection,Italy,general pop,general pop,95,92,97,,original & alpha,,,,
42,Sheikh,Pfizer,1,1,28+,infection ,infection,Scotland,general pop,general pop,38,29,45,alpha,alpha,,,,
42,Sheikh,Pfizer,2,final,14+,infection ,infection,Scotland,general pop,general pop,92,90,93,alpha,alpha,~20 weeks,,,
42,Sheikh,AZD1222 (AstraZeneca),1,1,28+,infection ,infection,Scotland,general pop,general pop,37,32,42,alpha,alpha,,,,
42,Sheikh,AZD1222 (AstraZeneca),2,final,14+,infection ,infection,Scotland,general pop,general pop,73,66,78,alpha,alpha,~20 weeks,,,
42,Sheikh,Pfizer,1,1,28+,infection ,infection,Scotland,general pop,general pop,30,17,41,delta,delta,,,,
42,Sheikh,Pfizer,2,final,14+,infection ,infection,Scotland,general pop,general pop,79,75,82,delta,delta,~20 weeks,,,
42,Sheikh,AZD1222 (AstraZeneca),1,1,28+,infection ,infection,Scotland,general pop,general pop,18,9,25,delta,delta,,,,
42,Sheikh,AZD1222 (AstraZeneca),2,final,14+,infection ,infection,Scotland,general pop,general pop,60,53,66,delta,delta,~20 weeks,,,
43,Stowe,Pfizer,1,1,21+,hospitalization,severe,UK,hospital patients,general pop,83,62,93,alpha,alpha,,,,
43,Stowe,Pfizer,2,final,14+,hospitalization,severe,UK,hospital patients,general pop,95,78,99,alpha,alpha,~20 weeks,,,
43,Stowe,AZD1222 (AstraZeneca),1,1,21+,hospitalization,severe,UK,hospital patients,general pop,76,61,85,alpha,alpha,,,,
43,Stowe,AZD1222 (AstraZeneca),2,final,14+,hospitalization,severe,UK,hospital patients,general pop,86,53,96,alpha,alpha,~20 weeks,,,
43,Stowe,Pfizer,1,1,21+,hospitalization,severe,UK,hospital patients,general pop,94,46,99,delta,delta,,,,
43,Stowe,Pfizer,2,final,14+,hospitalization,severe,UK,hospital patients,general pop,96,86,99,delta,delta,~20 weeks,,,
43,Stowe,AZD1222 (AstraZeneca),1,1,21+,hospitalization,severe,UK,hospital patients,general pop,71,51,83,delta,delta,,,,
43,Stowe,AZD1222 (AstraZeneca),2,final,14+,hospitalization,severe,UK,hospital patients,general pop,92,75,97,delta,delta,~20 weeks,,,
44,Azamgarhi,Pfizer,1,1,>14,infection ,infection,UK,HCW,HCW,70,6,91,,original & alpha,,,,
45,Young-Xu,Pfizer,1,1,7+,infection ,infection,USA,general pop,general pop,58,54,62,,original & alpha,,,,
45,Young-Xu,Pfizer,2,final,7+,infection ,infection,USA,general pop,general pop,94,92,95,,original & alpha,~8 weeks,,,
45,Young-Xu,Pfizer,1,1,7+,hospitalization,severe,USA,general pop,general pop,40,27,50,,original & alpha,,,,
45,Young-Xu,Pfizer,2,final,7+,hospitalization,severe,USA,general pop,general pop,89,81,93,,original & alpha,~8 weeks,,,
45,Young-Xu,Pfizer,1,1,7+,death,death,USA,general pop,general pop,55,21,74,,original & alpha,,,,
45,Young-Xu,Pfizer,2,final,7+,death,death,USA,general pop,general pop,98.5,86.6,99.8,,original & alpha,~8 weeks,,,
45,Young-Xu,Pfizer,1,1,7+,asymptomatic infection,asymptomatic,USA,general pop,general pop,58,41.7,69.7,,original & alpha,,,,
45,Young-Xu,Pfizer,2,final,7+,asymptomatic infection,asymptomatic,USA,general pop,general pop,69.7,47.7,82.5,,original & alpha,~8 weeks,,,
45,Young-Xu,Pfizer,1,1,7+,hospitalization,severe,USA,general pop,general pop,53,25.7,70.3,,original & alpha,,,,
45,Young-Xu,Pfizer,2,final,7+,hospitalization,severe,USA,general pop,general pop,88.4,74.9,94.7,,original & alpha,~8 weeks,,,
45,Young-Xu,Pfizer,1,1,7+,death,death,USA,general pop,general pop,55.6,26.6,73.2,,original & alpha,,,,
45,Young-Xu,Pfizer,2,final,7+,death,death,USA,general pop,general pop,97,91.7,98.9,,original & alpha,~8 weeks,,,
46,Pawlowski,Pfizer,1,1,>14,infection ,infection,USA,general pop,general pop,61,50.8,69.2,,original & alpha,,,,
46,Pawlowski,Pfizer,2,final,>14,infection ,infection,USA,general pop,general pop,88,84.2,91,,original & alpha,~17 weeks,,,
46,Pawlowski,Pfizer,2,final,>14,hospitalization,severe,USA,general pop,general pop,88.3,72.6,95.9,,original & alpha,~17 weeks,,,
46,Pawlowski,Pfizer,2,final,>14,ICU admission,severe,USA,general pop,general pop,100,18.7,100,,original & alpha,~17 weeks,,,
46,Pawlowski,Moderna,1,1,>14,infection ,infection,USA,general pop,general pop,66.6,51.9,77.3,,original & alpha,,,,
